Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
18/08/2010,26,6,NaN,8,NaN,NaN,6,7,NaN,NaN,NaN,NaN,7,6,NaN,4,12,7,NaN,7,8,10,NaN,9,NaN,NaN,5,11,5,NaN,7,5,8,4,7,NaN,8,NaN,NaN,6,9,8,NaN,3,8
21/08/2010,16,6,NaN,8,NaN,NaN,5,6,NaN,NaN,NaN,NaN,7,4,NaN,5,10,9,NaN,5,8,9,NaN,9,NaN,NaN,6,8,5,NaN,7,5,8,4,6,6,9,NaN,NaN,5,8,9,NaN,3,9
22/08/2010,16,3,NaN,8,NaN,NaN,5,7,NaN,NaN,NaN,NaN,5,4,NaN,7,11,9,NaN,5,NaN,10,NaN,8,NaN,NaN,5,12,5,NaN,7,4,7,4,6,5,10,NaN,NaN,5,8,9,NaN,4,8
09/09/2010,16,18,NaN,9,NaN,NaN,8,10,NaN,NaN,NaN,NaN,9,11,NaN,14,13,16,NaN,10,11,12,9,9,NaN,NaN,11,13,14,NaN,10,7,8,10,8,7,14,NaN,11,10,12,14,NaN,5,15
11/09/2010,26,6,NaN,7,NaN,NaN,7,9,NaN,NaN,NaN,NaN,10,4,NaN,6,14,7,NaN,9,11,12,11,9,NaN,NaN,5,13,9,11,10,7,9,5,9,7,8,NaN,12,9,7,8,NaN,2,7
12/09/2010,6,4,NaN,8,NaN,NaN,6,7,NaN,NaN,NaN,NaN,8,5,NaN,4,12,8,NaN,8,9,9,7,7,NaN,NaN,6,11,6,10,9,6,6,5,6,7,10,NaN,9,7,10,10,NaN,4,7
13/09/2010,16,6,NaN,7,NaN,NaN,8,10,NaN,NaN,NaN,NaN,10,NaN,NaN,6,13,10,NaN,10,12,13,8,9,NaN,NaN,4,14,7,8,11,8,8,5,9,8,8,NaN,13,10,8,8,NaN,3,10
14/09/2010,16,4,NaN,6,NaN,NaN,4,6,NaN,NaN,NaN,NaN,9,NaN,NaN,3,11,6,NaN,6,8,10,NaN,5,NaN,NaN,5,10,5,9,9,8,7,4,5,7,7,NaN,10,8,9,7,NaN,3,7
18/09/2010,6,4,NaN,9,NaN,NaN,10,8,NaN,NaN,NaN,NaN,10,6,NaN,2,12,9,NaN,11,9,13,7,8,NaN,NaN,5,13,8,7,10,8,6,5,8,7,9,NaN,11,10,9,8,NaN,3,8
20/09/2010,16,5,NaN,8,NaN,NaN,7,9,NaN,NaN,NaN,NaN,7,6,NaN,4,14,10,NaN,8,10,10,8,9,NaN,NaN,5,14,7,6,11,5,6,7,7,7,9,NaN,11,8,9,8,NaN,5,9
17/10/2010,6,5,2,12,NaN,NaN,15,12,NaN,NaN,NaN,NaN,12,6,NaN,9,17,16,NaN,10,10,10,7,11,NaN,NaN,9,12,9,14,13,11,8,10,NaN,6,17,NaN,16,10,13,10,NaN,9,14
22/10/2010,26,5,0,9,NaN,NaN,13,12,NaN,NaN,NaN,NaN,9,5,NaN,6,14,10,NaN,9,14,11,11,10,NaN,NaN,7,12,8,4,9,12,8,3,NaN,4,8,NaN,12,10,7,7,NaN,NaN,10
27/10/2010,16,NaN,1,8,NaN,NaN,8,10,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,15,10,NaN,8,11,8,8,9,NaN,NaN,7,9,10,7,9,8,8,6,NaN,7,9,NaN,12,8,8,8,NaN,NaN,9
02/11/2010,16,NaN,3,9,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,8,18,10,NaN,10,12,11,NaN,10,NaN,NaN,8,13,11,8,12,10,9,8,NaN,10,9,NaN,12,12,9,8,NaN,5,10
03/11/2010,16,NaN,0,10,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,7,13,13,NaN,8,8,9,NaN,7,NaN,NaN,NaN,7,6,7,7,6,7,7,NaN,6,11,NaN,9,8,8,8,NaN,5,10
04/11/2010,16,NaN,1,8,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,NaN,7,NaN,5,13,8,NaN,8,10,12,NaN,8,NaN,NaN,6,8,7,5,10,10,8,5,NaN,9,7,NaN,11,9,5,9,NaN,2,9
05/11/2010,16,NaN,3,10,NaN,NaN,9,16,NaN,NaN,NaN,NaN,NaN,9,NaN,22,16,22,NaN,11,10,13,NaN,10,NaN,NaN,11,16,9,15,7,7,9,36,NaN,9,26,NaN,11,10,13,19,NaN,7,17
10/11/2010,6,NaN,1,12,NaN,NaN,10,10,NaN,NaN,NaN,NaN,NaN,8,NaN,4,14,12,NaN,9,12,10,8,10,NaN,NaN,7,12,6,10,9,8,13,9,10,6,12,NaN,12,8,13,8,NaN,6,10
12/11/2010,26,NaN,3,9,NaN,NaN,8,11,NaN,NaN,NaN,NaN,NaN,6,NaN,6,14,9,NaN,9,13,9,9,10,NaN,NaN,5,12,7,5,8,7,7,7,10,8,11,NaN,10,10,7,7,NaN,6,9
03/12/2010,26,NaN,2,19,NaN,NaN,26,18,NaN,NaN,NaN,NaN,20,10,NaN,15,28,21,NaN,23,24,NaN,19,22,NaN,25,19,24,NaN,27,NaN,NaN,20,27,25,12,31,NaN,24,16,34,13,NaN,NaN,NaN
03/01/2011,16,NaN,1,14,NaN,NaN,26,16,NaN,NaN,NaN,NaN,27,8,NaN,10,NaN,18,NaN,24,21,NaN,20,22,NaN,22,8,19,24,26,30,NaN,20,24,36,21,NaN,NaN,19,22,19,10,NaN,14,12
04/01/2011,26,NaN,-1,NaN,NaN,NaN,15,16,NaN,NaN,NaN,NaN,11,6,NaN,13,NaN,15,NaN,21,18,NaN,18,17,NaN,12,6,18,24,18,22,NaN,17,11,24,15,NaN,NaN,16,18,16,9,NaN,5,14
