Date,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
19/03/2010,16,4,2,NaN,NaN,NaN,10,11,NaN,NaN,NaN,NaN,16,6,NaN,9,10,15,NaN,13,13,16,11,11,NaN,9,8,12,12,12,11,7,NaN,9,11,NaN,12,NaN,NaN,12,16,6,14,8,12
01/04/2010,16,2,0,10,NaN,NaN,5,7,NaN,NaN,NaN,NaN,7,5,NaN,3,4,8,NaN,7,9,11,6,NaN,NaN,NaN,4,6,5,4,5,3,NaN,4,7,NaN,8,NaN,5,6,8,NaN,10,4,6
04/04/2010,16,4,2,5,NaN,NaN,6,4,NaN,NaN,NaN,NaN,7,7,NaN,4,7,9,NaN,10,9,14,8,8,NaN,NaN,7,6,12,8,7,4,NaN,4,8,NaN,7,NaN,NaN,9,9,NaN,12,4,8
07/04/2010,16,5,1,8,NaN,NaN,6,7,NaN,NaN,NaN,NaN,21,6,NaN,8,9,10,NaN,22,20,24,15,17,NaN,NaN,7,6,28,11,13,6,NaN,8,14,NaN,14,NaN,NaN,21,17,9,15,6,11
19/04/2010,16,4,2,6,NaN,NaN,42,34,NaN,NaN,NaN,NaN,19,7,NaN,3,23,13,NaN,15,19,21,17,22,NaN,NaN,9,39,8,16,28,17,31,6,25,NaN,16,NaN,NaN,13,24,11,15,12,11
26/04/2010,6,4,1,7,NaN,NaN,8,12,NaN,NaN,NaN,NaN,13,5,NaN,7,12,10,NaN,13,15,15,NaN,11,NaN,NaN,6,12,13,12,11,9,11,5,10,NaN,9,NaN,NaN,13,11,7,13,3,10
29/04/2010,16,4,0,6,NaN,NaN,12,11,NaN,NaN,NaN,NaN,23,6,NaN,10,19,11,NaN,23,NaN,27,22,24,NaN,NaN,6,11,23,NaN,17,10,36,6,NaN,NaN,10,NaN,NaN,23,15,7,13,4,11
30/04/2010,26,3,2,6,NaN,NaN,7,8,NaN,NaN,NaN,NaN,8,6,NaN,9,10,12,NaN,10,NaN,14,8,NaN,NaN,NaN,6,7,9,10,8,6,9,6,NaN,NaN,13,NaN,NaN,11,11,5,15,6,10
14/05/2010,26,6,1,9,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,15,7,NaN,12,18,17,NaN,19,18,21,16,18,NaN,NaN,10,9,22,15,18,6,17,10,14,NaN,12,NaN,NaN,16,14,11,17,5,16
15/05/2010,16,4,3,8,NaN,NaN,10,10,NaN,NaN,NaN,NaN,16,8,NaN,7,15,11,NaN,17,15,20,14,16,NaN,NaN,7,12,19,14,13,7,10,9,11,NaN,13,NaN,NaN,17,20,9,16,5,10
28/05/2010,16,3,1,7,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,10,5,NaN,5,11,10,NaN,11,10,14,8,10,NaN,NaN,4,9,11,8,8,9,8,5,7,NaN,7,NaN,NaN,9,10,7,11,2,7
08/03/2011,16,13,9,22,NaN,28,37,31,NaN,NaN,NaN,NaN,40,13,NaN,36,41,44,NaN,46,47,NaN,48,44,NaN,33,29,37,NaN,36,39,31,59,32,40,43,39,NaN,54,NaN,37,30,NaN,32,41
09/03/2011,16,4,0,8,NaN,5,9,7,NaN,NaN,NaN,NaN,14,7,NaN,5,14,10,NaN,15,16,NaN,16,14,NaN,3,5,10,NaN,6,11,3,20,5,11,NaN,10,NaN,14,NaN,8,8,NaN,5,9
10/03/2011,16,4,2,7,NaN,7,11,11,NaN,NaN,NaN,NaN,12,8,NaN,5,15,9,NaN,8,11,NaN,16,9,NaN,3,5,16,NaN,5,12,5,18,7,9,10,11,NaN,12,NaN,9,10,NaN,6,10
11/03/2011,16,5,3,10,NaN,4,10,8,NaN,NaN,NaN,NaN,10,7,NaN,5,11,10,NaN,8,11,NaN,14,9,NaN,8,7,10,NaN,5,11,4,17,6,9,11,9,NaN,11,NaN,7,9,NaN,4,10
18/03/2011,6,6,1,21,NaN,8,18,11,NaN,NaN,NaN,NaN,25,9,NaN,4,24,11,NaN,18,21,NaN,15,20,NaN,13,8,16,19,16,14,NaN,28,13,16,21,24,NaN,19,NaN,23,10,NaN,10,10
20/03/2011,6,6,1,9,NaN,6,15,13,NaN,NaN,NaN,NaN,37,8,NaN,15,22,19,NaN,34,31,34,32,33,NaN,7,8,15,33,14,27,NaN,32,10,29,NaN,14,NaN,39,NaN,12,13,NaN,6,NaN
21/03/2011,6,4,1,11,NaN,3,15,19,NaN,NaN,NaN,NaN,43,9,NaN,11,24,17,NaN,31,31,32,31,36,NaN,6,8,22,32,11,23,NaN,48,7,25,NaN,14,NaN,44,NaN,18,11,NaN,5,NaN
31/03/2011,16,8,3,11,NaN,9,11,12,NaN,NaN,NaN,NaN,10,11,NaN,NaN,18,11,NaN,10,13,16,14,11,NaN,NaN,9,14,13,8,12,7,13,10,8,NaN,12,NaN,13,NaN,12,12,NaN,8,22
02/04/2011,16,6,2,10,NaN,6,9,10,NaN,NaN,NaN,NaN,15,8,NaN,NaN,19,13,NaN,10,13,16,13,10,NaN,NaN,10,13,14,11,12,6,13,9,10,NaN,13,NaN,15,NaN,13,14,NaN,6,20
03/04/2011,16,4,1,8,NaN,3,7,6,NaN,NaN,NaN,NaN,12,7,NaN,NaN,14,8,NaN,8,9,13,10,8,NaN,NaN,5,10,9,7,9,3,11,7,8,NaN,10,NaN,11,NaN,8,10,NaN,4,NaN
05/04/2011,16,6,1,8,NaN,2,7,4,NaN,NaN,NaN,NaN,10,6,NaN,NaN,12,9,NaN,10,14,15,15,11,NaN,NaN,5,8,10,4,10,5,10,4,10,NaN,7,NaN,11,NaN,6,8,NaN,1,NaN
15/04/2011,6,11,5,16,NaN,13,17,17,NaN,NaN,NaN,NaN,41,12,NaN,33,26,17,NaN,24,20,28,22,22,NaN,22,13,21,34,25,23,11,33,16,20,NaN,27,NaN,31,NaN,29,16,NaN,14,21
12/05/2011,16,4,1,NaN,NaN,5,9,7,NaN,NaN,NaN,NaN,10,7,NaN,5,NaN,9,NaN,8,10,11,11,10,NaN,3,7,11,8,6,NaN,7,7,6,8,9,10,NaN,7,NaN,12,8,NaN,5,9
13/05/2011,16,4,1,NaN,NaN,2,7,6,NaN,NaN,NaN,NaN,10,6,NaN,4,NaN,9,NaN,9,12,13,12,11,NaN,5,6,10,8,6,NaN,7,6,4,9,11,10,NaN,9,NaN,9,8,NaN,3,7
15/05/2011,16,3,1,NaN,NaN,5,8,7,NaN,NaN,NaN,NaN,12,8,NaN,2,NaN,7,NaN,9,12,11,12,9,NaN,4,6,13,8,4,NaN,6,7,5,9,10,10,NaN,7,NaN,8,8,NaN,5,7
16/05/2011,16,3,0,NaN,NaN,5,9,8,NaN,NaN,NaN,NaN,NaN,5,NaN,3,NaN,7,NaN,10,12,12,13,10,NaN,6,5,15,8,4,NaN,6,9,7,10,11,10,NaN,8,NaN,11,8,NaN,4,6
17/05/2011,16,3,0,8,NaN,3,7,6,NaN,NaN,NaN,NaN,NaN,7,NaN,4,NaN,7,NaN,10,11,14,13,10,NaN,6,4,13,10,4,NaN,7,8,7,9,11,9,NaN,10,NaN,8,8,NaN,5,7
18/05/2011,16,6,3,10,NaN,4,7,5,NaN,NaN,NaN,NaN,NaN,7,NaN,6,NaN,9,NaN,8,9,12,8,8,NaN,5,6,11,6,5,NaN,6,8,6,7,10,11,NaN,8,NaN,10,10,NaN,6,9
19/05/2011,6,5,3,10,NaN,NaN,10,7,NaN,NaN,NaN,NaN,NaN,8,NaN,8,NaN,10,NaN,12,15,15,15,14,NaN,6,7,14,9,9,NaN,7,10,7,11,13,12,NaN,10,NaN,12,11,NaN,5,10
20/05/2011,16,5,2,10,NaN,4,7,6,NaN,NaN,NaN,NaN,NaN,7,NaN,6,NaN,10,NaN,11,11,13,13,10,NaN,6,7,12,16,6,NaN,7,7,6,9,13,10,NaN,9,NaN,10,10,NaN,4,11
22/05/2011,16,4,2,8,NaN,4,11,8,NaN,NaN,NaN,NaN,12,7,NaN,4,NaN,7,NaN,7,9,11,13,NaN,NaN,3,6,14,7,4,NaN,7,10,5,8,9,9,NaN,10,NaN,7,9,NaN,3,8
23/05/2011,26,6,2,9,NaN,5,9,8,NaN,NaN,NaN,NaN,12,7,NaN,5,NaN,9,NaN,9,11,12,16,NaN,NaN,5,8,14,9,5,NaN,8,9,8,9,13,10,NaN,10,NaN,10,11,NaN,6,10
24/05/2011,16,7,2,10,NaN,6,9,8,NaN,NaN,NaN,NaN,13,10,NaN,4,NaN,11,NaN,8,11,10,14,NaN,NaN,7,8,14,9,5,NaN,6,9,9,9,10,12,NaN,10,NaN,10,10,NaN,7,11
27/05/2011,16,3,1,9,NaN,3,NaN,7,NaN,NaN,NaN,NaN,7,7,NaN,4,NaN,8,NaN,8,10,9,9,NaN,NaN,4,6,11,10,7,NaN,8,7,6,7,8,10,NaN,6,NaN,10,10,NaN,5,8
28/05/2011,16,3,2,10,NaN,4,NaN,5,NaN,NaN,NaN,NaN,10,7,NaN,4,NaN,8,NaN,8,9,10,8,NaN,NaN,5,5,10,7,4,NaN,6,6,6,6,9,9,NaN,7,NaN,8,8,NaN,4,8
29/05/2011,16,4,2,10,NaN,6,NaN,5,NaN,NaN,NaN,NaN,9,8,NaN,6,NaN,11,NaN,7,9,11,10,NaN,NaN,6,7,9,6,4,NaN,5,6,8,7,8,11,NaN,7,NaN,9,10,NaN,5,11
30/05/2011,26,6,2,10,NaN,4,NaN,6,NaN,NaN,NaN,NaN,8,8,NaN,6,NaN,9,NaN,8,10,11,9,NaN,NaN,5,8,10,10,6,NaN,5,7,8,10,9,12,NaN,7,NaN,12,11,NaN,6,10
