Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
31/08/2014,12.7,10.8,8.1,13.5,-12.1,14.8,232.9,15,7,4,No data,8,5,No data,8,No data,No data,7,No data,No data,6,3,6,10,7,9,12,11,6,9,No data,No data,8,No data,6,8,6,No data,7,No data,No data,No data,5,11,6,11,No data,9,9,No data,2,6
01/06/2015,3.5,15.8,27.4,31.6,31.7,35.4,210.1,25,7,0,4,4,2,5,4,3,No data,5,No data,6,2,3,6,7,5,7,5,5,4,6,4,5,2,9,4,8,4,4,7,7,3,3,3,3,No data,5,4,5,2,3,2,6
02/06/2015,1.5,22.8,-4.2,23.1,49.8,34,280.5,20,5,0,5,3,5,7,7,4,No data,5,No data,6,3,4,6,9,6,6,6,6,5,7,5,7,4,8,6,7,4,6,10,8,6,3,2,6,No data,5,4,7,3,6,5,7
03/06/2015,16.5,12.9,-1.7,13,-19.6,16.3,277.3,6,6,0,6,4,2,6,6,6,No data,5,No data,11,3,4,6,9,5,8,8,6,6,8,6,7,4,9,6,9,9,6,9,8,4,5,7,5,No data,5,7,9,2,5,4,6
04/06/2015,20.7,-1.4,9.3,9.4,-13.1,11.4,171.7,4,9,4,10,7,No data,10,10,8,No data,10,No data,13,9,7,10,12,11,12,12,12,9,12,12,11,9,13,8,12,14,10,10,9,8,8,14,10,No data,8,13,13,6,11,6,11
05/06/2015,15.9,10,7.4,12.4,41.8,24.3,233.5,20,15,5,6,9,7,10,9,13,No data,14,No data,13,8,8,15,16,13,15,13,15,12,16,13,13,12,18,9,20,16,11,9,11,9,10,10,12,No data,9,12,14,11,10,6,16
06/06/2015,18,25.8,-1,25.8,19.3,27.5,272.2,16,6,1,6,4,5,6,6,4,No data,5,No data,10,3,4,6,8,6,6,5,No data,5,6,3,6,7,9,6,8,6,5,7,6,5,3,4,5,No data,4,5,6,4,5,4,7
07/06/2015,28,8.4,-10.4,13.4,-25.6,18.5,320.9,7,5,1,6,5,4,8,8,5,No data,7,No data,12,3,4,5,10,5,7,7,7,6,9,7,8,4,8,7,10,6,7,8,7,5,4,6,5,No data,5,6,8,4,5,4,7
08/06/2015,31.4,-1.7,-5.9,6.1,-43,22.3,15.7,0,7,1,6,5,2,7,5,4,No data,6,No data,No data,3,3,5,9,5,6,8,9,6,9,6,8,8,9,6,8,6,6,7,8,5,4,4,5,4,5,5,8,4,5,3,5
09/06/2015,27.9,1.4,-0.7,1.5,-52,26.1,298.7,0,9,2,8,6,4,6,5,5,No data,6,No data,6,6,5,5,8,5,6,5,7,4,7,4,6,6,10,6,6,6,5,8,6,7,3,4,8,5,4,4,8,5,6,5,7
10/06/2015,25,-0.1,-2.3,2.3,-39.1,19.7,1.2,0,10,2,9,7,7,9,7,8,No data,8,No data,9,5,6,6,9,7,6,7,8,5,10,6,8,8,12,8,8,8,7,9,8,7,5,6,8,7,7,5,10,6,8,8,7
11/06/2015,17.6,-3.2,3.1,4.5,-16.9,9.6,133.5,0,12,3,12,9,No data,13,12,9,No data,11,No data,14,7,8,9,13,9,9,11,14,11,12,12,12,11,14,11,8,9,12,15,14,12,10,9,10,11,10,9,11,5,10,12,10
12/06/2015,13.5,-6.5,-4,7.6,2.1,7.7,57.9,11,12,7,14,16,No data,19,18,20,No data,18,No data,24,9,10,10,20,13,17,26,30,28,25,29,24,17,17,18,16,17,17,No data,21,16,16,24,16,21,16,24,21,8,15,11,14
13/06/2015,12.3,-2.8,-7.6,8.1,-3.1,8.2,20.3,18,6,4,6,17,14,11,8,15,No data,15,No data,10,4,8,12,19,16,16,13,16,12,14,13,12,18,13,10,19,No data,16,No data,No data,19,8,12,19,17,10,14,20,7,17,9,20
14/06/2015,13.8,-0.3,-9,9.1,-25.7,15.7,1.9,0,6,0,6,6,3,9,8,6,No data,9,No data,13,2,3,6,11,8,10,11,12,11,12,11,11,5,8,8,14,No data,9,No data,8,5,5,12,5,5,8,12,8,3,4,3,6
15/06/2015,18.3,2,3.1,3.7,-28.1,14.5,212.6,0,7,2,10,5,6,7,7,6,No data,7,No data,7,5,7,4,9,10,5,5,6,4,7,4,5,8,12,6,5,No data,6,No data,6,8,3,2,8,No data,5,4,9,6,8,6,8
16/06/2015,18.7,10.8,9.4,14.3,-21.8,18,228.7,5,14,5,10,7,10,11,16,10,No data,11,No data,8,8,10,13,13,12,11,9,9,9,10,8,9,14,16,10,10,No data,9,No data,8,12,5,6,16,No data,8,5,14,11,12,9,11
17/06/2015,16.7,18.6,-5.2,19.3,-5.2,19.4,285.6,16,8,0,6,4,5,8,6,5,No data,7,No data,11,2,4,10,12,7,9,7,8,8,9,7,9,6,9,10,10,No data,9,No data,10,6,4,6,7,No data,6,7,8,4,6,3,10
18/06/2015,17.6,12,-9.4,15.2,-16.6,17.3,308.1,7,6,1,8,8,6,10,9,6,No data,11,No data,11,4,5,8,11,6,10,8,10,10,10,9,10,6,10,8,10,No data,9,No data,10,7,5,7,7,No data,6,No data,10,5,6,7,9
19/06/2015,19.1,8.9,-6.2,10.8,-18.7,14.3,304.8,7,5,0,9,8,6,13,13,7,No data,10,No data,13,2,4,6,14,6,11,10,11,10,12,10,11,6,9,9,10,No data,10,No data,10,7,6,10,7,No data,8,No data,13,3,6,5,7
20/06/2015,18.2,9.2,0.7,9.3,-8.8,10.3,265.4,16,10,1,7,5,5,11,10,9,No data,8,No data,11,4,5,14,11,10,10,11,11,12,12,10,10,14,13,13,12,No data,9,No data,No data,9,6,10,8,No data,8,11,13,8,8,4,13
21/06/2015,15.9,9.8,-5,11,18.2,14.2,297.2,27,9,0,3,4,4,9,8,3,No data,6,No data,10,3,3,6,10,6,7,7,7,7,8,7,8,4,8,9,10,No data,7,No data,No data,4,4,4,3,No data,5,6,5,2,4,2,7
22/06/2015,13.8,-1.6,-15.1,15.2,3,15.2,5.9,18,7,1,5,3,3,6,5,3,No data,5,No data,6,3,3,6,9,5,6,4,5,5,7,4,5,3,9,4,6,No data,4,No data,No data,3,2,2,4,No data,3,5,7,3,3,1,6
23/06/2015,15.6,1.4,-2.8,3.1,-23.8,12.3,333.3,0,8,2,8,8,4,7,6,8,No data,10,No data,7,6,6,7,11,8,8,8,8,7,10,7,7,6,11,7,9,No data,7,No data,No data,5,3,8,6,No data,4,8,12,5,5,4,10
24/06/2015,16.4,3.6,2.2,4.3,-10.4,6.7,238.7,0,9,4,13,5,5,8,9,No data,No data,10,No data,9,7,7,11,12,9,11,8,9,7,10,7,No data,8,18,10,12,No data,8,10,No data,7,5,6,9,No data,7,7,9,12,9,5,12
25/06/2015,15.2,1.4,10.4,10.4,-19,14.1,187.7,4,17,4,14,7,8,8,9,6,No data,10,No data,11,7,10,13,12,11,12,8,12,8,10,9,No data,10,16,10,11,No data,9,12,No data,10,6,6,10,No data,10,9,12,No data,11,7,13
26/06/2015,13.7,8.2,7.6,11.2,7.5,11.8,227.3,15,16,2,6,6,8,9,12,8,No data,10,No data,11,5,5,12,11,11,12,8,10,8,10,7,No data,12,17,11,12,No data,8,10,No data,11,5,6,10,No data,9,8,13,No data,12,6,14
27/06/2015,12.8,10,7.5,12.5,-17.7,15.3,232.9,5,12,2,5,5,6,7,9,6,No data,8,No data,11,5,7,10,11,8,9,8,9,8,10,8,No data,11,11,7,11,No data,8,9,No data,7,6,8,7,No data,7,8,10,No data,7,5,11
28/06/2015,12.9,14.6,5.6,15.6,7.6,16.1,248.9,16,11,0,2,6,5,7,7,5,No data,9,No data,10,3,4,9,12,6,11,8,8,8,9,7,No data,5,10,7,10,No data,7,9,No data,8,5,5,6,No data,8,7,8,No data,5,4,9
29/06/2015,14.1,7.5,9.6,12.2,-23.5,16.9,218.1,5,12,1,5,8,6,8,9,7,No data,10,No data,10,4,6,No data,13,9,11,9,9,8,11,8,No data,9,12,8,9,No data,9,10,No data,6,5,7,9,No data,5,7,11,No data,7,5,12
30/06/2015,12.4,4.8,17.5,18.1,-9.1,18.7,195.3,14,17,2,6,8,7,8,11,8,No data,11,No data,18,6,6,No data,12,13,9,12,12,11,13,11,No data,8,16,9,11,No data,9,12,No data,8,6,12,8,No data,9,13,12,No data,8,5,No data
01/07/2015,12.6,-3.1,7.8,8.4,5.7,8.9,158,14,25,11,16,15,14,15,16,17,No data,19,No data,No data,18,17,No data,23,No data,18,17,21,No data,19,16,No data,19,No data,15,18,No data,17,No data,No data,16,13,No data,17,20,13,20,22,No data,16,16,No data
02/07/2015,15.8,5.7,2.4,6.1,0,6.1,247,15,17,3,8,5,4,7,6,7,No data,8,No data,No data,9,10,No data,11,No data,10,12,11,No data,13,10,No data,9,No data,9,18,No data,8,8,No data,6,No data,No data,7,9,10,13,11,No data,7,3,No data
03/07/2015,18.6,-4.9,11.7,12.6,-28.1,18.9,157.2,0,5,3,7,6,5,8,8,4,No data,8,No data,No data,6,6,No data,10,No data,8,7,8,No data,9,7,No data,7,No data,8,9,No data,6,10,No data,9,No data,No data,7,7,8,7,8,No data,7,4,No data
04/07/2015,16.4,1.9,11.6,11.8,16.7,14.4,189.5,24,6,3,5,8,6,10,9,9,No data,11,No data,No data,4,5,No data,15,No data,13,14,15,21,15,16,No data,9,No data,8,16,No data,11,11,10,8,8,11,8,11,8,13,10,No data,7,5,No data
05/07/2015,14.3,2,5.8,6.1,-1,6.2,199.5,14,10,2,3,4,4,8,7,4,No data,8,No data,No data,6,5,No data,11,No data,6,8,10,9,10,7,No data,6,No data,7,10,No data,7,8,8,5,4,5,6,7,6,7,8,5,6,3,No data
06/07/2015,11.6,3.8,14.1,14.6,5.2,14.8,195.1,14,7,0,3,4,4,6,7,5,No data,7,No data,No data,3,4,No data,11,No data,7,7,7,8,7,5,No data,6,No data,6,8,No data,6,9,6,4,2,4,5,6,4,5,7,4,6,No data,No data
07/07/2015,10.2,7.7,-0.1,7.7,49.2,25.7,271,20,7,0,2,3,3,6,5,4,No data,6,No data,No data,3,3,No data,9,8,7,6,6,7,7,5,No data,4,No data,4,8,No data,6,7,7,4,3,4,4,5,5,6,7,4,5,No data,8
08/07/2015,14.5,7.4,-19.7,21,3.3,21.1,339.4,18,5,0,4,3,4,7,6,3,No data,6,No data,9,2,3,5,9,7,6,5,7,6,7,4,No data,6,No data,5,6,No data,6,7,5,4,3,4,6,5,4,5,8,3,4,No data,7
09/07/2015,17.2,6,-0.1,6.1,-34.6,18.3,271.2,0,4,1,4,5,No data,8,8,6,No data,7,No data,11,3,3,7,9,8,8,6,8,8,9,6,No data,4,No data,8,No data,No data,6,8,8,4,4,5,No data,6,6,6,9,5,4,No data,7
10/07/2015,14,4.7,15.7,16.4,-4.1,16.5,196.5,14,7,2,9,7,No data,9,11,7,No data,10,No data,14,5,7,11,14,12,12,10,10,11,12,9,No data,9,No data,9,No data,No data,10,12,9,11,6,8,No data,9,9,9,12,9,9,No data,12
11/07/2015,12.4,13.8,9.4,16.7,9.9,17.4,235.5,15,6,3,6,4,No data,8,9,6,No data,8,No data,13,4,5,10,11,9,8,11,11,12,11,10,No data,8,No data,7,No data,No data,9,9,9,7,6,10,No data,8,8,13,9,5,7,4,10
12/07/2015,12.9,14.2,0.9,14.2,11.7,15.4,266.5,16,4,1,8,5,No data,5,5,5,No data,8,No data,9,3,4,8,11,7,8,6,6,8,8,5,No data,4,No data,6,No data,No data,5,8,7,4,3,5,No data,6,5,6,8,3,4,2,8
13/07/2015,13.8,8.6,1,8.7,14.9,11.4,263.7,26,No data,1,7,5,No data,6,6,4,No data,7,No data,9,4,5,9,10,9,7,7,7,8,9,6,No data,7,No data,4,No data,No data,6,9,8,6,4,4,No data,6,6,6,8,8,No data,4,9
14/07/2015,16.4,2.1,-1.7,2.7,-9.9,5.7,308.3,0,No data,1,3,7,No data,6,6,6,No data,9,No data,8,6,3,15,11,No data,11,5,7,6,9,5,No data,No data,No data,5,9,No data,6,7,6,4,3,3,5,6,6,6,17,7,No data,2,10
15/07/2015,18,2.2,-3.1,3.8,-9.1,6,324.9,0,No data,1,3,5,No data,5,7,4,No data,8,No data,6,3,No data,10,11,No data,7,7,8,8,9,No data,No data,No data,No data,5,17,No data,7,7,7,3,4,3,4,5,5,6,8,5,No data,1,4
16/07/2015,15.6,-10.5,12,15.9,-0.5,16,139.1,13,No data,2,10,10,No data,11,9,8,No data,11,No data,18,4,No data,7,13,No data,9,11,16,No data,15,No data,No data,No data,No data,8,10,No data,13,9,10,9,11,8,9,10,11,8,10,4,No data,8,6
17/07/2015,11.5,9.2,9.7,13.3,45,26.1,223.3,20,5,2,3,5,6,7,7,6,No data,8,No data,10,3,No data,10,11,11,8,7,8,No data,10,No data,No data,No data,No data,6,12,No data,8,6,9,6,6,4,6,7,7,6,8,5,No data,5,7
18/07/2015,9.9,18.2,0.4,18.2,8.6,18.7,268.6,16,No data,0,3,4,3,8,7,5,No data,6,No data,8,3,5,7,9,7,7,6,6,No data,8,5,No data,No data,No data,6,9,No data,6,7,6,4,3,3,4,6,5,5,7,3,No data,2,3
19/07/2015,8.3,5.4,-5.6,7.8,8,8.7,316.4,27,6,0,2,4,3,7,6,4,No data,6,No data,7,3,4,7,8,7,7,6,5,No data,8,5,No data,No data,No data,6,10,No data,5,6,5,3,3,3,4,5,5,5,7,3,No data,2,3
20/07/2015,7.3,4.1,15.4,15.9,21.2,19.1,194.9,24,6,2,3,4,4,7,8,5,No data,7,No data,6,4,5,8,9,10,7,5,6,No data,9,5,No data,No data,No data,7,No data,No data,5,6,4,5,4,No data,6,6,4,4,8,5,No data,4,4
21/07/2015,8.4,15.6,0.8,15.6,14.9,17.3,267.1,16,4,1,4,5,5,7,7,No data,No data,7,No data,9,4,5,8,10,9,9,No data,7,No data,8,6,No data,No data,No data,5,No data,No data,6,8,20,4,3,No data,5,No data,5,5,8,4,No data,3,4
22/07/2015,11.9,13.6,3,13.9,6.4,14.3,257.7,16,4,1,4,3,3,6,No data,No data,No data,6,No data,9,3,5,7,9,7,9,No data,6,7,8,5,No data,No data,No data,4,8,No data,5,6,5,4,3,5,4,No data,4,5,7,3,No data,2,2
23/07/2015,13.5,12.4,0.6,12.4,3.1,12.5,267.2,16,No data,1,2,4,3,6,No data,No data,No data,6,No data,6,2,4,7,9,8,10,No data,6,8,8,No data,No data,No data,No data,No data,10,No data,5,7,5,3,4,3,4,No data,4,6,8,3,No data,2,3
24/07/2015,13.4,-1.6,-6.4,6.6,5.7,7.2,14,18,5,1,4,8,7,9,No data,6,No data,9,No data,8,4,4,7,11,9,10,No data,9,9,9,7,No data,No data,No data,No data,11,No data,9,6,8,7,6,4,8,No data,7,7,10,4,No data,7,4
25/07/2015,12.4,4,-7.5,8.5,-28.9,16.8,331.9,0,5,2,2,7,3,7,No data,4,No data,10,No data,8,4,5,6,13,7,7,No data,5,6,8,6,No data,No data,No data,No data,8,No data,8,6,7,7,5,3,7,9,6,4,11,4,No data,3,3
26/07/2015,5.8,-3.4,13.7,14.1,30.4,20.7,166,20,4,2,3,5,4,6,No data,5,No data,6,No data,7,4,6,8,8,10,7,No data,6,6,8,5,No data,No data,No data,No data,8,No data,5,7,6,5,No data,4,5,9,5,5,7,5,No data,4,5
27/07/2015,7,3,-6.7,7.4,42.3,22.4,336.4,20,5,1,4,No data,3,6,No data,4,No data,4,No data,9,3,5,8,8,7,5,No data,No data,5,6,4,No data,No data,No data,No data,6,No data,6,7,5,4,1,2,4,7,4,3,6,No data,No data,2,4
28/07/2015,9.6,4.3,-10.3,11.1,20,15,337.3,27,4,1,3,No data,2,6,No data,3,No data,4,No data,8,4,6,5,7,6,6,No data,No data,5,7,5,No data,No data,No data,No data,6,No data,4,6,5,3,2,2,4,4,4,4,6,4,No data,1,2
29/07/2015,13.1,5.8,-17.8,18.8,-2.9,18.8,342,18,4,No data,2,No data,2,5,No data,4,No data,6,No data,No data,3,4,6,9,6,7,No data,No data,6,6,4,No data,No data,No data,No data,8,7,5,6,5,4,1,2,5,6,4,4,No data,4,No data,2,3
30/07/2015,15,8.7,-5,10,-28.2,17.3,300,0,4,No data,2,No data,2,6,4,3,No data,6,No data,10,No data,3,6,9,7,8,No data,No data,7,8,6,No data,No data,No data,No data,9,8,6,7,6,3,2,5,4,6,4,6,No data,3,No data,2,3
31/07/2015,13,10.5,9.8,14.3,-5,14.5,226.9,15,5,No data,4,8,4,8,5,5,No data,8,No data,13,No data,5,9,11,10,12,No data,12,13,11,11,No data,No data,No data,5,11,10,9,7,9,7,7,8,8,7,8,9,No data,4,No data,3,4
01/08/2015,11.8,12.1,5.5,13.3,8.9,14,245.4,15,4,No data,4,5,3,7,5,4,No data,7,No data,11,No data,5,8,9,7,9,No data,8,11,10,8,No data,No data,No data,5,12,8,7,8,7,5,4,6,5,7,10,8,No data,3,No data,3,3
02/08/2015,11.4,-4.4,18.6,19.1,-9,19.6,166.8,14,6,No data,6,6,6,7,8,6,No data,8,No data,12,No data,6,10,9,11,7,No data,10,11,11,8,No data,No data,No data,7,9,7,8,10,7,7,6,7,5,8,7,7,No data,5,No data,5,6
03/08/2015,9.6,6.5,17.1,18.3,40,27.1,200.7,20,12,No data,7,6,6,8,6,7,No data,9,No data,11,No data,7,11,11,9,10,No data,11,11,12,8,No data,No data,No data,6,13,9,9,8,9,7,4,No data,6,8,7,8,No data,6,No data,5,5
04/08/2015,7.7,19.2,14.7,24.1,32.7,29.1,232.6,25,8,1,4,3,5,8,6,4,No data,7,No data,11,No data,No data,6,9,6,8,No data,No data,9,No data,7,No data,No data,No data,5,9,6,7,10,7,4,4,No data,5,6,6,4,6,4,No data,2,3
05/08/2015,7.9,4.2,18.9,19.4,14.7,20.7,192.7,14,8,3,4,5,5,7,7,7,No data,8,No data,11,No data,No data,9,12,11,10,No data,No data,12,No data,9,No data,No data,No data,5,11,10,9,8,9,6,5,No data,7,8,6,No data,8,No data,No data,4,5
06/08/2015,11.1,9.8,-0.7,9.8,4.4,10,274.3,16,8,2,5,5,4,6,4,5,No data,7,No data,8,No data,No data,8,10,10,8,No data,No data,9,No data,6,No data,No data,No data,6,11,7,6,6,7,6,3,No data,5,9,4,No data,10,No data,No data,3,5
07/08/2015,16.1,5.2,1.1,5.4,-14.2,8.9,258.3,0,6,1,8,8,6,9,7,6,No data,10,No data,10,No data,5,7,13,9,10,No data,8,14,No data,10,No data,No data,No data,8,10,8,11,8,9,8,6,7,9,11,6,No data,9,No data,No data,5,4
08/08/2015,15.4,12.1,12.4,17.3,-25.2,21.4,224.4,5,5,2,5,10,6,11,8,9,No data,12,No data,No data,No data,6,11,14,11,11,No data,10,15,No data,11,No data,12,No data,8,9,10,11,7,15,8,8,6,10,13,13,No data,14,5,No data,5,8
09/08/2015,12,15.8,11.2,19.4,-8.3,19.8,234.8,15,4,1,3,4,2,6,4,3,No data,7,No data,No data,No data,4,8,9,8,9,No data,7,12,No data,8,No data,6,No data,3,11,4,7,6,9,4,5,5,3,6,7,No data,5,2,No data,2,3
10/08/2015,12.9,10.2,5,11.4,10.5,12.5,244,15,6,1,4,3,3,5,No data,3,No data,6,No data,No data,No data,3,8,9,7,9,No data,4,10,No data,5,No data,6,No data,4,9,No data,6,5,6,4,2,3,3,6,3,No data,6,4,No data,2,3
11/08/2015,16.5,7.1,-2.3,7.5,-26.4,15.2,288.3,0,2,-1,3,8,2,5,No data,4,No data,9,No data,No data,No data,2,8,No data,9,10,No data,7,9,No data,8,No data,7,No data,6,10,No data,10,7,9,5,4,4,6,8,7,5,9,4,No data,3,4
12/08/2015,18.8,2.4,3,3.8,-36,18.4,218.1,0,4,No data,6,9,5,7,No data,7,No data,No data,No data,No data,6,5,10,No data,11,11,No data,6,9,No data,6,No data,12,No data,9,8,No data,10,10,9,8,6,4,8,10,8,6,12,5,8,4,7
13/08/2015,14.9,-0.6,2.9,2.9,-16.6,8.8,168.2,0,6,No data,14,9,7,11,No data,8,No data,No data,No data,No data,13,12,8,No data,10,No data,No data,15,21,No data,13,No data,10,No data,11,11,No data,14,15,17,8,11,12,9,12,15,16,11,7,9,8,5
14/08/2015,10.5,2.1,-8.4,8.6,19.1,12.9,345.9,20,3,4,10,9,5,7,No data,5,No data,No data,No data,No data,8,8,9,No data,9,No data,15,15,18,14,16,15,9,No data,11,18,10,9,No data,14,6,7,11,7,7,8,13,13,3,5,5,4
15/08/2015,10.2,9.6,-0.9,9.6,-2.8,9.7,275.5,16,3,2,4,5,4,4,No data,5,No data,No data,No data,No data,5,4,6,13,8,No data,10,9,12,9,12,11,7,No data,6,10,9,9,No data,9,6,5,9,6,8,5,13,10,3,6,4,4
16/08/2015,14.1,1.2,5.4,5.6,-15.9,9.7,191.9,0,5,3,6,9,6,7,No data,5,No data,No data,No data,No data,8,6,9,12,11,No data,13,8,14,9,11,12,10,No data,7,9,10,9,No data,8,8,5,7,9,10,6,11,13,6,9,5,5
17/08/2015,17.5,-3.1,-1.7,3.5,-12.7,7.2,61.9,0,6,4,8,17,6,No data,No data,8,No data,No data,No data,No data,7,8,10,17,11,No data,11,11,13,10,12,12,10,No data,11,8,11,12,No data,12,7,No data,8,9,11,11,10,15,7,7,6,7
18/08/2015,15,-0.7,-5,5.1,4.2,5.5,7.9,-1,2,3,10,7,7,No data,No data,7,No data,No data,No data,No data,8,6,No data,14,10,11,12,10,15,10,11,13,11,No data,10,9,9,12,No data,13,8,No data,11,9,9,11,12,13,3,6,6,3
19/08/2015,13.7,5.9,14.2,15.4,18.1,17.8,202.4,24,9,2,6,4,3,No data,4,4,No data,6,No data,No data,4,5,No data,10,9,9,6,7,10,7,8,9,6,No data,4,13,6,8,No data,7,4,No data,6,5,7,5,6,6,5,4,1,4
20/08/2015,13.7,6.4,20,21,5.3,21.1,197.6,14,10,1,5,3,4,No data,5,5,No data,No data,No data,6,3,3,No data,10,10,8,5,3,9,4,5,6,8,No data,4,9,6,7,No data,4,7,No data,2,6,8,No data,4,8,9,6,2,7
21/08/2015,12.4,12,17,20.8,4.7,20.9,215.1,15,9,2,7,2,2,No data,5,3,No data,No data,No data,9,5,6,No data,9,9,7,5,5,10,4,5,7,8,No data,4,11,4,7,No data,5,3,2,5,4,7,No data,6,7,5,4,1,3
22/08/2015,12.6,0.8,8.7,8.8,-2.5,8.9,184.9,14,7,2,6,5,6,No data,10,7,No data,7,No data,10,7,5,No data,11,11,7,10,9,15,9,11,12,11,No data,8,21,7,9,No data,10,7,6,12,8,11,No data,14,9,10,7,5,7
23/08/2015,10.1,-9.2,9.1,12.9,39.9,23.8,134.8,20,20,17,13,9,12,No data,5,13,No data,12,No data,8,21,20,No data,15,21,14,12,10,13,10,11,10,15,No data,6,21,14,10,No data,7,14,6,11,13,17,No data,12,15,26,13,11,18
24/08/2015,6,-4.8,0.3,4.8,37.6,19.4,93.1,20,16,1,3,7,3,No data,4,6,No data,7,No data,5,3,3,No data,12,9,10,5,6,8,5,6,8,6,No data,5,9,9,9,No data,5,4,4,4,5,9,No data,5,7,5,3,2,6
25/08/2015,4.4,6.5,7,9.6,19.6,13.7,222.7,20,5,1,No data,3,4,No data,4,5,No data,4,No data,5,2,4,6,8,8,7,3,4,5,3,5,6,6,No data,5,7,5,5,No data,5,4,2,3,4,7,No data,4,7,4,5,2,3
26/08/2015,1.4,10.4,8.4,13.3,39.9,24,231.2,20,5,1,2,3,3,No data,4,4,No data,5,No data,7,2,4,6,10,6,7,4,4,5,4,5,7,6,No data,3,6,5,7,No data,6,4,3,4,4,6,No data,4,6,4,4,2,3
27/08/2015,0.3,17.1,6.1,18.1,6.1,18.4,250.2,16,2,0,3,3,3,No data,3,3,No data,5,No data,5,2,3,6,8,6,9,4,4,5,3,5,6,6,No data,3,6,5,5,No data,5,4,2,3,4,5,No data,4,6,3,4,1,3
28/08/2015,8.5,16,13.3,20.7,2.8,20.8,230.2,15,4,1,5,4,4,4,4,4,No data,6,No data,6,4,4,7,No data,7,7,5,4,5,4,5,7,7,No data,5,8,6,6,No data,7,4,3,4,4,6,No data,5,7,4,5,2,3
29/08/2015,14.1,13,8.4,15.5,5,15.7,237,15,3,2,7,5,3,8,5,4,No data,8,No data,9,4,5,8,No data,7,9,7,6,10,6,9,10,9,No data,5,9,7,8,No data,7,5,6,6,5,7,7,8,7,4,5,2,5
30/08/2015,17.9,3,-2.1,3.6,-2.6,3.9,305.8,-1,2,1,4,8,4,10,7,6,No data,11,No data,11,5,3,11,No data,9,13,9,10,11,8,19,12,10,No data,No data,8,11,12,No data,14,7,8,7,9,11,10,8,11,5,7,3,6
31/08/2015,19.2,-3.9,-12.5,13.1,3.5,13.2,17.3,18,3,2,3,10,4,8,5,9,No data,11,No data,6,No data,4,8,No data,8,11,5,5,6,4,11,7,9,No data,6,6,10,10,No data,8,8,4,3,8,11,6,3,15,4,7,3,7
01/06/2016,26.3,-9.5,-10.9,14.4,-18.2,17.1,40.9,1,5,3,6,9,3,9,7,8,5,8,7,11,7,8,7,9,5,7,7,7,7,6,5,4,8,6,9,12,8,No data,7,13,4,4,9,4,7,No data,9,7,7,No data,3,4
02/06/2016,23.3,-7.4,-10.4,12.8,-12.4,14.2,35.3,11,4,4,6,11,7,10,12,9,6,8,7,9,7,8,5,7,6,7,5,6,5,5,5,3,11,7,12,6,6,No data,12,13,No data,4,7,9,8,No data,7,11,7,No data,7,6
03/06/2016,19.8,-7.5,-2.9,8.1,5.1,8.5,68.9,12,7,4,10,14,10,12,16,10,9,14,10,10,8,7,6,13,7,11,7,9,7,9,8,6,12,8,16,5,12,No data,12,14,No data,8,6,No data,9,No data,7,12,7,No data,11,6
04/06/2016,18.6,-5.5,-1.4,5.7,-10.6,7.8,75.5,2,10,No data,16,24,14,23,24,23,21,26,12,21,13,13,18,25,15,22,19,18,18,19,17,17,23,15,22,13,21,No data,17,20,No data,20,17,No data,22,No data,16,23,13,No data,16,14
05/06/2016,19.7,-4.5,3.4,5.7,-15.7,9.7,127.1,0,8,No data,15,17,17,18,23,17,20,18,16,24,9,12,10,14,11,15,15,17,18,16,16,15,20,10,19,9,17,No data,21,23,No data,14,15,No data,17,No data,17,18,8,No data,21,9
06/06/2016,19.6,-3.8,4.7,6,-13.5,9.1,141.7,0,8,No data,32,10,14,13,15,11,14,9,16,15,10,13,10,9,15,8,11,12,12,10,No data,9,14,11,16,8,10,No data,22,No data,No data,8,9,No data,12,No data,12,9,8,No data,10,11
07/06/2016,22.1,0.4,-0.1,0.4,-11.9,6,282.3,0,8,No data,19,11,21,24,27,13,15,11,15,20,10,15,13,11,16,8,16,19,22,18,19,14,20,17,25,6,10,No data,18,No data,21,11,12,19,13,No data,14,16,15,No data,19,13
08/06/2016,22.6,-3.3,0.6,3.4,-28.5,14.7,100.5,0,6,6,19,25,18,26,21,23,18,23,10,18,8,10,12,18,20,17,15,17,No data,15,16,14,31,9,19,9,19,No data,10,No data,25,17,13,26,23,No data,14,29,7,21,18,17
09/06/2016,18,-2.8,4.8,5.5,-22,12.3,149.7,0,8,7,27,12,22,21,24,19,17,12,14,12,8,12,11,10,16,10,12,15,12,14,14,13,24,9,25,8,13,No data,16,No data,23,14,12,23,17,17,13,21,7,20,20,11
